player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Tammy Abraham,eng ENG,FW,Roma,24-016,1997,8.0,8.0,683.0,2.0,2.0,0.0,0.0,1.0,0.0,0.26,0.26,0.53,0.26,0.53,3.5,3.5,1.9,0.46,0.25,0.72,0.46,0.72,/en/players/f586779e/matchlogs/2021-2022/summary/Tammy-Abraham-Match-Logs,7.6,21.0,6.0,1.0,28.6,2.77,0.79,0.1,0.33,0.17,-1.5,-1.5,110.0,145.0,75.9,1568.0,356.0,68.0,85.0,80.0,29.0,38.0,76.3,7.0,9.0,77.8,0.1,12.0,7.0,7.0,0.0,17.0,134.0,11.0,0.0,1.0,46.0,2.0,4.0,0.0,0.0,0.0,0.0,90.0,33.0,22.0,8.0,102.0,13.0,0.0,5.0,0.0,1.0,6.0,7.0,28.0,3.69,20.0,0.0,0.0,4.0,3.0,6.0,0.79,3.0,0.0,0.0,2.0,1.0,0.0,9.0,7.0,1.0,5.0,3.0,2.0,3.0,66.7,1.0,102.0,25.0,24.5,4.0,45.0,53.0,9.0,3.0,0.0,6.0,3.0,9.0,1.0,235.0,8.0,19.0,115.0,122.0,48.0,224.0,11.0,15.0,73.3,11.0,0.0,128.0,652.0,348.0,22.0,12.0,7.0,312.0,167.0,53.5,19.0,7.0,0.0,11.0,12.0,7.0,0.0,0.0,0.0,20.0,19.0,20.0,48.7
Francesco Acerbi,it ITA,DF,Lazio,33-250,1988,7.0,7.0,615.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.02,0.02,0.0,0.02,/en/players/b96b595c/matchlogs/2021-2022/summary/Francesco-Acerbi-Match-Logs,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,501.0,88.4,8884.0,2850.0,158.0,172.0,91.9,217.0,235.0,92.3,62.0,84.0,73.8,-0.2,2.0,40.0,0.0,0.0,27.0,483.0,18.0,13.0,1.0,42.0,16.0,1.0,0.0,0.0,0.0,0.0,357.0,60.0,84.0,377.0,87.0,20.0,0.0,0.0,0.0,9.0,4.0,3.0,6.0,0.88,4.0,1.0,0.0,0.0,1.0,1.0,0.15,0.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,4.0,3.0,0.0,3.0,6.0,50.0,3.0,48.0,15.0,31.3,24.0,20.0,4.0,12.0,9.0,0.0,3.0,15.0,46.0,0.0,579.0,73.0,285.0,319.0,19.0,1.0,561.0,0.0,0.0,0.0,0.0,0.0,382.0,1992.0,1177.0,30.0,6.0,0.0,400.0,392.0,98.0,3.0,3.0,0.0,6.0,4.0,1.0,1.0,0.0,0.0,83.0,31.0,12.0,72.1
Kevin Agudelo,co COL,FW,Spezia,22-338,1998,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.63,0.71,1.34,0.63,1.34,/en/players/46fa7204/matchlogs/2021-2022/summary/Kevin-Agudelo-Match-Logs,0.3,2.0,2.0,0.0,100.0,6.21,6.21,0.0,0.0,0.1,-0.2,-0.2,11.0,16.0,68.8,183.0,54.0,5.0,6.0,83.3,5.0,8.0,62.5,1.0,1.0,100.0,-0.2,2.0,1.0,1.0,0.0,2.0,16.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,9.31,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,3.0,3.0,100.0,0.0,11.0,3.0,27.3,2.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,2.0,9.0,13.0,1.0,22.0,1.0,1.0,100.0,1.0,0.0,17.0,92.0,34.0,4.0,1.0,0.0,19.0,17.0,89.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
Ola Aina,ng NGA,DF,Torino,25-010,1996,7.0,6.0,453.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,0.03,0.21,0.24,0.03,0.24,/en/players/246d153b/matchlogs/2021-2022/summary/Ola-Aina-Match-Logs,5.0,4.0,1.0,0.0,25.0,0.79,0.2,0.0,0.0,0.04,-0.2,-0.2,167.0,231.0,72.3,3006.0,1476.0,72.0,87.0,82.8,73.0,83.0,88.0,20.0,44.0,45.5,-1.0,9.0,18.0,9.0,3.0,24.0,184.0,47.0,2.0,0.0,29.0,2.0,11.0,0.0,0.0,0.0,0.0,119.0,46.0,66.0,50.0,119.0,14.0,45.0,1.0,1.0,3.0,8.0,17.0,16.0,3.18,13.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,4.0,5.0,1.0,5.0,7.0,71.4,2.0,59.0,16.0,27.1,17.0,27.0,15.0,6.0,2.0,0.0,4.0,12.0,10.0,0.0,304.0,14.0,62.0,163.0,102.0,12.0,259.0,8.0,14.0,57.1,9.0,1.0,162.0,887.0,561.0,24.0,11.0,6.0,195.0,168.0,86.2,7.0,8.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,42.0,4.0,5.0,44.4
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,29-007,1992,6.0,2.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.18,0.02,0.2,0.18,0.2,/en/players/fdf4b948/matchlogs/2021-2022/summary/Jean-Daniel-Akpa-Akpro-Match-Logs,2.0,1.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.36,-0.4,-0.4,55.0,64.0,85.9,723.0,116.0,36.0,39.0,92.3,17.0,19.0,89.5,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,64.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,15.0,1.0,13.0,44.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,1.02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,5.0,0.0,4.0,7.0,57.1,3.0,55.0,16.0,29.1,15.0,28.0,12.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0,94.0,4.0,22.0,51.0,27.0,1.0,94.0,4.0,6.0,66.7,5.0,0.0,72.0,238.0,109.0,3.0,2.0,0.0,77.0,67.0,87.0,1.0,2.0,0.0,8.0,7.0,0.0,0.0,1.0,0.0,10.0,5.0,2.0,71.4
Luis Alberto,es ESP,MF,Lazio,29-020,1992,8.0,6.0,517.0,1.0,4.0,0.0,0.0,1.0,0.0,0.17,0.7,0.87,0.17,0.87,0.6,0.6,1.3,0.11,0.23,0.34,0.11,0.34,/en/players/5294a83f/matchlogs/2021-2022/summary/Luis-Alberto-Match-Logs,5.7,9.0,2.0,1.0,22.2,1.57,0.35,0.11,0.5,0.07,0.4,0.4,404.0,468.0,86.3,6921.0,2211.0,192.0,208.0,92.3,159.0,178.0,89.3,40.0,64.0,62.5,2.7,11.0,65.0,12.0,0.0,45.0,443.0,25.0,11.0,3.0,74.0,13.0,5.0,10.0,6.0,0.0,3.0,373.0,44.0,51.0,27.0,428.0,7.0,2.0,2.0,2.0,1.0,13.0,4.0,22.0,3.83,17.0,5.0,0.0,0.0,0.0,4.0,0.7,2.0,2.0,0.0,0.0,0.0,0.0,10.0,7.0,4.0,3.0,3.0,3.0,11.0,27.3,8.0,85.0,30.0,35.3,27.0,42.0,16.0,5.0,1.0,0.0,4.0,3.0,1.0,0.0,512.0,5.0,81.0,316.0,147.0,6.0,488.0,6.0,7.0,85.7,6.0,2.0,409.0,1789.0,970.0,37.0,16.0,1.0,455.0,423.0,93.0,4.0,6.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,42.0,3.0,1.0,75.0
Giorgio Altare,it ITA,DF,Cagliari,23-070,1998,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/en/players/aa5322d5/matchlogs/2021-2022/summary/Giorgio-Altare-Match-Logs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,57.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Kelvin Amian,fr FRA,DF,Spezia,23-252,1998,6.0,6.0,458.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,0.1,0.1,0.5,0.02,0.1,0.12,0.02,0.12,/en/players/bcc81786/matchlogs/2021-2022/summary/Kelvin-Amian-Match-Logs,5.1,2.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.06,-0.1,-0.1,178.0,217.0,82.0,3200.0,1197.0,83.0,92.0,90.2,76.0,88.0,86.4,17.0,27.0,63.0,0.5,5.0,8.0,3.0,2.0,10.0,170.0,47.0,6.0,0.0,35.0,6.0,6.0,0.0,0.0,0.0,0.0,135.0,56.0,26.0,21.0,146.0,7.0,41.0,1.0,1.0,6.0,5.0,7.0,7.0,1.38,7.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,10.0,2.0,2.0,4.0,7.0,57.1,3.0,80.0,25.0,31.3,46.0,23.0,11.0,12.0,1.0,0.0,11.0,12.0,20.0,0.0,281.0,18.0,128.0,120.0,45.0,5.0,237.0,1.0,4.0,25.0,1.0,0.0,134.0,670.0,288.0,9.0,1.0,1.0,164.0,149.0,90.9,3.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,20.0,6.0,9.0,40.0
Ethan Ampadu,wls WAL,MF,Venezia,21-034,2000,2.0,1.0,106.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,/en/players/10b9fa99/matchlogs/2021-2022/summary/Ethan-Ampadu-Match-Logs,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,74.0,79.7,1292.0,373.0,15.0,20.0,75.0,32.0,37.0,86.5,12.0,16.0,75.0,0.0,1.0,6.0,0.0,0.0,8.0,72.0,2.0,2.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,49.0,17.0,8.0,15.0,55.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0,5.0,4.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6.0,31.6,12.0,7.0,0.0,3.0,1.0,0.0,2.0,2.0,2.0,0.0,84.0,1.0,32.0,48.0,9.0,0.0,82.0,1.0,1.0,100.0,1.0,0.0,51.0,379.0,254.0,5.0,1.0,0.0,54.0,52.0,96.3,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,18.0,3.0,1.0,75.0
Sofyan Amrabat,ma MAR,MF,Fiorentina,25-058,1996,4.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,/en/players/5a2cb25d/matchlogs/2021-2022/summary/Sofyan-Amrabat-Match-Logs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,75.0,93.3,1452.0,372.0,23.0,23.0,100.0,34.0,36.0,94.4,12.0,12.0,100.0,0.0,1.0,9.0,1.0,0.0,7.0,72.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,59.0,7.0,9.0,1.0,68.0,5.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,1.0,3.0,5.0,60.0,2.0,21.0,5.0,23.8,5.0,16.0,0.0,5.0,1.0,0.0,4.0,1.0,1.0,0.0,86.0,4.0,20.0,64.0,8.0,0.0,83.0,1.0,1.0,100.0,1.0,0.0,62.0,385.0,110.0,2.0,1.0,0.0,56.0,54.0,96.4,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,50.0
Felipe Anderson,br BRA,FW,Lazio,28-186,1993,8.0,8.0,674.0,3.0,2.0,0.0,0.0,1.0,0.0,0.4,0.27,0.67,0.4,0.67,1.9,1.9,2.3,0.26,0.31,0.56,0.26,0.56,/en/players/9f1893b9/matchlogs/2021-2022/summary/Felipe-Anderson-Match-Logs,7.5,12.0,5.0,0.0,41.7,1.6,0.67,0.25,0.6,0.16,1.1,1.1,299.0,373.0,80.2,4552.0,1322.0,185.0,204.0,90.7,90.0,112.0,80.4,18.0,40.0,45.0,-0.3,17.0,13.0,15.0,4.0,34.0,343.0,30.0,3.0,1.0,52.0,10.0,23.0,13.0,8.0,2.0,1.0,275.0,50.0,48.0,66.0,286.0,10.0,8.0,2.0,0.0,4.0,15.0,9.0,32.0,4.27,22.0,3.0,4.0,0.0,3.0,4.0,0.53,3.0,0.0,1.0,0.0,0.0,0.0,18.0,10.0,9.0,4.0,5.0,6.0,27.0,22.2,21.0,172.0,38.0,22.1,46.0,72.0,54.0,9.0,1.0,0.0,8.0,5.0,4.0,0.0,483.0,5.0,51.0,238.0,239.0,33.0,454.0,23.0,34.0,67.6,24.0,1.0,392.0,2054.0,1333.0,64.0,22.0,12.0,425.0,367.0,86.4,20.0,19.0,0.0,7.0,11.0,2.0,0.0,0.0,0.0,41.0,2.0,4.0,33.3
Cristian Ansaldi,ar ARG,DF,Torino,35-028,1986,6.0,2.0,267.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0,0.67,0.1,0.1,0.6,0.04,0.2,0.24,0.04,0.24,/en/players/bbafc0c4/matchlogs/2021-2022/summary/Cristian-Ansaldi-Match-Logs,3.0,2.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.06,-0.1,-0.1,122.0,167.0,73.1,2516.0,1238.0,49.0,53.0,92.5,50.0,65.0,76.9,22.0,41.0,53.7,1.4,8.0,19.0,6.0,5.0,19.0,138.0,29.0,1.0,0.0,18.0,7.0,16.0,2.0,0.0,1.0,0.0,79.0,33.0,55.0,51.0,86.0,3.0,26.0,0.0,0.0,5.0,4.0,10.0,10.0,3.37,9.0,1.0,0.0,0.0,0.0,3.0,1.01,3.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,1.0,0.0,3.0,4.0,75.0,1.0,33.0,11.0,33.3,15.0,9.0,9.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0,194.0,11.0,47.0,76.0,88.0,11.0,166.0,1.0,3.0,33.3,1.0,0.0,126.0,826.0,503.0,27.0,6.0,4.0,141.0,126.0,89.4,3.0,4.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,23.0,2.0,2.0,50.0
Janis Antiste,fr FRA,"FW,MF",Spezia,19-061,2002,7.0,6.0,465.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,1.3,1.3,0.2,0.25,0.04,0.29,0.25,0.29,/en/players/38d9ce53/matchlogs/2021-2022/summary/Janis-Antiste-Match-Logs,5.2,9.0,2.0,0.0,22.2,1.74,0.39,0.11,0.5,0.14,-0.3,-0.3,69.0,103.0,67.0,971.0,207.0,39.0,53.0,73.6,24.0,35.0,68.6,2.0,5.0,40.0,-0.2,3.0,2.0,5.0,2.0,6.0,96.0,7.0,0.0,1.0,16.0,1.0,3.0,0.0,0.0,0.0,0.0,68.0,19.0,16.0,20.0,70.0,9.0,0.0,0.0,2.0,1.0,4.0,8.0,7.0,1.35,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,3.0,6.0,3.0,4.0,9.0,44.4,5.0,105.0,28.0,26.7,17.0,37.0,51.0,5.0,0.0,0.0,5.0,3.0,2.0,0.0,166.0,3.0,29.0,71.0,79.0,30.0,159.0,7.0,14.0,50.0,7.0,2.0,105.0,441.0,255.0,11.0,2.0,5.0,210.0,120.0,57.1,10.0,13.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,16.0,6.0,13.0,31.6
Mattia Aramu,it ITA,"FW,MF",Venezia,26-157,1995,5.0,3.0,253.0,1.0,1.0,1.0,1.0,2.0,0.0,0.36,0.36,0.71,0.0,0.36,1.0,0.2,0.7,0.34,0.25,0.59,0.07,0.32,/en/players/0847b5a5/matchlogs/2021-2022/summary/Mattia-Aramu-Match-Logs,2.8,5.0,1.0,3.0,20.0,1.78,0.36,0.0,0.0,0.04,0.0,-0.2,62.0,97.0,63.9,1213.0,442.0,27.0,36.0,75.0,20.0,27.0,74.1,13.0,27.0,48.1,0.3,5.0,7.0,0.0,0.0,8.0,76.0,21.0,5.0,0.0,11.0,5.0,8.0,10.0,2.0,7.0,0.0,55.0,17.0,25.0,88.0,4.0,1.0,1.0,2.0,0.0,1.0,4.0,6.0,9.0,3.2,5.0,2.0,0.0,0.0,2.0,1.0,0.36,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,40.0,3.0,72.0,13.0,18.1,16.0,38.0,18.0,5.0,0.0,0.0,5.0,2.0,3.0,0.0,142.0,3.0,20.0,75.0,58.0,7.0,119.0,0.0,3.0,0.0,1.0,0.0,74.0,325.0,181.0,11.0,2.0,2.0,121.0,86.0,71.1,7.0,9.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,15.0,2.0,7.0,22.2
Marko Arnautović,at AUT,FW,Bologna,32-182,1989,8.0,8.0,708.0,3.0,1.0,1.0,2.0,1.0,0.0,0.38,0.13,0.51,0.25,0.38,4.2,2.7,0.9,0.53,0.11,0.64,0.34,0.45,/en/players/00459419/matchlogs/2021-2022/summary/Marko-Arnautovic-Match-Logs,7.9,24.0,6.0,1.0,25.0,3.05,0.76,0.08,0.33,0.11,-1.2,-0.7,185.0,244.0,75.8,2753.0,357.0,107.0,137.0,78.1,58.0,77.0,75.3,12.0,16.0,75.0,0.1,10.0,6.0,6.0,1.0,8.0,225.0,19.0,0.0,0.0,78.0,3.0,4.0,0.0,0.0,0.0,0.0,142.0,60.0,42.0,22.0,181.0,20.0,4.0,4.0,0.0,3.0,11.0,6.0,21.0,2.67,19.0,0.0,0.0,2.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,1.0,8.0,12.5,7.0,93.0,21.0,22.6,9.0,33.0,51.0,7.0,0.0,0.0,7.0,1.0,7.0,0.0,341.0,10.0,26.0,154.0,175.0,52.0,319.0,7.0,14.0,50.0,9.0,0.0,209.0,750.0,286.0,20.0,8.0,3.0,410.0,262.0,63.9,27.0,12.0,0.0,9.0,4.0,1.0,0.0,0.0,0.0,31.0,17.0,16.0,51.5
Tolgay Arslan,de GER,MF,Udinese,31-063,1990,7.0,5.0,407.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.05,0.02,0.07,0.05,0.07,/en/players/963a328b/matchlogs/2021-2022/summary/Tolgay-Arslan-Match-Logs,4.5,5.0,4.0,0.0,80.0,1.11,0.88,0.0,0.0,0.05,-0.2,-0.2,131.0,159.0,82.4,2340.0,385.0,57.0,66.0,86.4,60.0,69.0,87.0,11.0,18.0,61.1,-0.1,1.0,11.0,0.0,0.0,7.0,155.0,4.0,4.0,0.0,21.0,2.0,8.0,0.0,0.0,0.0,0.0,129.0,12.0,18.0,21.0,131.0,6.0,0.0,0.0,0.0,3.0,3.0,4.0,6.0,1.33,3.0,0.0,0.0,1.0,1.0,2.0,0.44,0.0,0.0,0.0,1.0,1.0,0.0,5.0,4.0,3.0,0.0,2.0,2.0,11.0,18.2,9.0,73.0,18.0,24.7,30.0,29.0,14.0,5.0,0.0,0.0,5.0,3.0,2.0,0.0,202.0,5.0,45.0,114.0,73.0,6.0,199.0,5.0,11.0,45.5,5.0,0.0,152.0,1053.0,692.0,35.0,19.0,0.0,169.0,149.0,88.2,4.0,7.0,0.0,7.0,8.0,0.0,1.0,0.0,0.0,29.0,1.0,2.0,33.3
Kristoffer Askildsen,no NOR,MF,Sampdoria,20-282,2001,7.0,1.0,183.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.05,0.12,0.17,0.05,0.17,/en/players/a69cc629/matchlogs/2021-2022/summary/Kristoffer-Askildsen-Match-Logs,2.0,3.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.04,-0.1,-0.1,55.0,70.0,78.6,951.0,376.0,23.0,29.0,79.3,25.0,28.0,89.3,6.0,8.0,75.0,-0.2,2.0,4.0,0.0,0.0,9.0,65.0,5.0,5.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,39.0,16.0,15.0,15.0,43.0,5.0,0.0,1.0,1.0,2.0,0.0,4.0,2.0,0.98,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,1.0,4.0,25.0,3.0,38.0,11.0,28.9,14.0,15.0,9.0,6.0,3.0,0.0,3.0,7.0,8.0,0.0,99.0,7.0,28.0,52.0,25.0,6.0,95.0,2.0,3.0,66.7,2.0,0.0,49.0,219.0,126.0,3.0,1.0,0.0,60.0,44.0,73.3,1.0,3.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,24.0,9.0,4.0,69.2
Kristjan Asllani,al ALB,"FW,MF",Empoli,19-223,2002,2.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.95,0.95,0.0,0.95,/en/players/0fdcef0e/matchlogs/2021-2022/summary/Kristjan-Asllani-Match-Logs,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,100.0,161.0,46.0,2.0,2.0,100.0,5.0,5.0,100.0,1.0,1.0,100.0,-0.2,1.0,1.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.21,2.0,0.0,1.0,0.0,0.0,1.0,4.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,22.2,2.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,14.0,2.0,5.0,5.0,4.0,2.0,14.0,1.0,2.0,50.0,2.0,0.0,10.0,34.0,24.0,1.0,0.0,1.0,12.0,9.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Emil Audero,it ITA,GK,Sampdoria,24-273,1997,8.0,8.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/en/players/649b01d8/matchlogs/2021-2022/summary/Emil-Audero-Match-Logs,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,247.0,73.3,6026.0,3744.0,26.0,26.0,100.0,73.0,76.0,96.1,81.0,144.0,56.3,0.0,0.0,1.0,0.0,0.0,0.0,168.0,79.0,25.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,120.0,9.0,118.0,23.0,189.0,0.0,0.0,32.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,247.0,273.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,121.0,496.0,291.0,0.0,0.0,0.0,125.0,124.0,99.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0
